Date,Open,High,Low,Close,Adj Close,Volume
2002-08-23,44741.851563,44741.851563,44741.851563,44741.851563,36317.636719,0.0
2002-08-26,43073.84375,43368.199219,42534.195313,42681.371094,34645.113281,568600.0
2002-08-27,42730.429688,43122.902344,42387.015625,42681.371094,34645.113281,562587.0
2002-08-28,41994.542969,42926.667969,41994.542969,42190.78125,34246.894531,492467.0
2002-08-29,41994.542969,42190.78125,41356.777344,41896.425781,34007.957031,668785.0
2002-08-30,42387.015625,44055.023438,42190.78125,44055.023438,35760.125,1058724.0
2002-09-02,45134.324219,45134.324219,43760.671875,44594.675781,36198.160156,968526.0
2002-09-03,44594.675781,44594.675781,43466.316406,43466.316406,35282.261719,650440.0
2002-09-04,42583.253906,42926.667969,42387.015625,42877.609375,34804.402344,714241.0
2002-09-05,43171.960938,43270.078125,42337.957031,42387.015625,34406.183594,409608.0
2002-09-06,41798.308594,42092.664063,41209.601563,41602.070313,33769.023438,509182.0
2002-09-09,41994.542969,42387.015625,40915.246094,41013.363281,33291.171875,550764.0
2002-09-10,41209.601563,42239.839844,41111.480469,42239.839844,34286.707031,449152.0
2002-09-11,42632.3125,44300.320313,42632.3125,43368.199219,35202.625,1082878.0
2002-09-12,43662.550781,44349.378906,43171.960938,44153.144531,35839.765625,941110.0
2002-09-13,43171.960938,44055.023438,43122.902344,43760.671875,35521.183594,649727.0
2002-09-16,43809.730469,44300.320313,42632.3125,42681.371094,34645.113281,624145.0
2002-09-17,44349.378906,44889.027344,43417.257813,44889.027344,36437.09375,1144335.0
2002-09-18,43368.199219,44104.082031,43270.078125,43613.492188,35401.726563,890661.0
2002-09-19,43662.550781,44545.613281,43662.550781,43858.789063,35600.835938,863449.0
2002-09-20,43858.789063,43858.789063,43858.789063,43858.789063,35600.835938,0.0
2002-09-23,43073.84375,43073.84375,41111.480469,41749.25,33888.496094,798221.0
2002-09-24,40768.070313,41307.71875,39835.945313,40228.417969,32654.011719,844492.0
2002-09-25,39345.355469,39835.945313,37088.640625,37481.113281,30423.982422,1753397.0
2002-09-26,39100.0625,39100.0625,36303.695313,36499.929688,29627.537109,2504532.0
2002-09-27,36598.050781,37039.582031,34782.863281,35714.988281,28990.388672,1893738.0
2002-09-30,34243.214844,34537.570313,32722.384766,32722.384766,26561.25,2128251.0
2002-10-01,31741.203125,33458.269531,31741.203125,33212.976563,26959.46875,2515336.0
2002-10-02,34046.980469,34243.214844,32477.089844,32477.089844,26362.138672,1773577.0
2002-10-03,32477.089844,32477.089844,32477.089844,32477.089844,26362.138672,0.0
2002-10-04,31397.791016,33262.035156,31299.671875,33163.917969,26919.652344,1334310.0
2002-10-07,32624.265625,32771.445313,31397.791016,31397.791016,25486.060547,1037423.0
2002-10-08,31495.908203,32084.617188,30858.140625,31839.322266,25844.451172,1652192.0
2002-10-09,31937.439453,31937.439453,30269.431641,30465.667969,24729.439453,1305569.0
2002-10-10,29729.783203,30024.136719,27865.539063,29190.132813,23694.066406,1876412.0
2002-10-11,30024.136719,30465.667969,28846.720703,29926.019531,24291.402344,1716197.0
2002-10-14,31005.318359,32428.03125,31005.318359,32084.617188,26043.5625,1439693.0
2002-10-15,32280.853516,33458.269531,31888.380859,33212.976563,26959.46875,2124174.0
2002-10-16,33409.210938,33556.386719,32378.970703,32771.445313,26601.074219,2173605.0
2002-10-17,32575.207031,34635.6875,31888.380859,33703.566406,27357.695313,2801318.0
2002-10-18,35028.160156,37530.171875,34390.390625,36450.871094,29587.710938,3100855.0
2002-10-21,36303.695313,36990.523438,35420.632813,35469.691406,28791.28125,1945920.0
2002-10-22,36303.695313,36598.050781,33654.507813,34537.570313,28034.660156,1833199.0
2002-10-23,34390.390625,36499.929688,34046.980469,36499.929688,29627.537109,1815057.0
2002-10-24,36892.402344,37186.757813,35911.222656,36303.695313,29468.251953,1637414.0
2002-10-25,35469.691406,37039.582031,35469.691406,36303.695313,29468.251953,959252.0
2002-10-28,37481.113281,39100.0625,37088.640625,38952.882813,31618.642578,2031633.0
2002-10-29,38756.648438,39051.0,38167.9375,38167.9375,30981.490234,922867.0
2002-10-30,37971.703125,38167.9375,35862.164063,36647.109375,29747.007813,1144233.0
2002-10-31,37186.757813,37677.347656,36156.519531,36303.695313,29468.251953,828491.0
2002-11-01,35813.105469,36892.402344,35420.632813,35960.28125,29189.5,817586.0
2002-11-04,36990.523438,38413.234375,36647.109375,38266.058594,31061.130859,1529381.0
2002-11-05,38069.820313,39247.238281,37775.464844,38756.648438,31459.359375,1867749.0
2002-11-06,39541.59375,39983.125,39198.179688,39934.066406,32415.082031,1641593.0
2002-11-07,39786.886719,41307.71875,39443.472656,40130.300781,32574.367188,1894655.0
2002-11-08,39247.238281,41062.421875,39100.0625,41062.421875,33330.976563,1694080.0
2002-11-11,40866.1875,40866.1875,39100.0625,39590.652344,32136.328125,1077477.0
2002-11-12,38069.820313,39149.121094,38020.761719,38805.707031,31499.173828,1062902.0
2002-11-13,38903.824219,39443.472656,38560.410156,39001.941406,31658.458984,899120.0
2002-11-14,39345.355469,40130.300781,39051.0,39051.0,31698.285156,894840.0
2002-11-15,40571.832031,41209.601563,40424.65625,41111.480469,33370.808594,1298231.0
2002-11-18,41209.601563,41553.011719,40522.773438,40817.128906,33131.867188,809738.0
2002-11-19,40522.773438,42043.605469,40424.65625,42043.605469,34127.425781,1073706.0
2002-11-20,41994.542969,43122.902344,41307.71875,43024.785156,34923.851563,1235144.0
2002-11-21,44005.964844,45232.441406,43956.90625,44349.378906,35999.046875,2657002.0
2002-11-22,45624.914063,45772.089844,44790.910156,45526.796875,36954.773438,2511463.0
2002-11-25,46017.386719,48028.808594,45330.558594,47881.628906,38866.234375,1758085.0
2002-11-26,47881.628906,47881.628906,46802.332031,47391.039063,38468.023438,2016345.0
2002-11-27,46900.449219,48960.929688,46655.152344,48274.101563,39184.8125,1422673.0
2002-11-28,49549.636719,49549.636719,46115.503906,46115.503906,37432.648438,2385900.0
2002-11-29,46311.742188,47881.628906,46213.621094,47587.277344,38627.308594,1310971.0
2002-12-02,47587.277344,47587.277344,47587.277344,47587.277344,38627.308594,0.0
2002-12-03,49009.988281,49451.519531,48274.101563,49451.519531,40140.539063,1358770.0
2002-12-04,48372.222656,48666.574219,47341.980469,47587.277344,38627.308594,1236367.0
2002-12-05,47096.6875,48372.222656,45821.148438,48372.222656,39264.453125,1602558.0
2002-12-06,47587.277344,48323.160156,47391.039063,48077.867188,39025.527344,916650.0
2002-12-09,47930.6875,48470.339844,46704.214844,46998.566406,38149.441406,1006338.0
2002-12-10,45428.679688,46115.503906,45428.679688,45673.972656,37074.25,1289058.0
2002-12-11,46213.621094,46360.800781,44741.851563,45183.382813,36676.03125,813917.0
2002-12-12,45232.441406,46507.976563,45232.441406,46017.386719,37353.0,1240545.0
2002-12-13,45330.558594,46017.386719,45085.265625,46017.386719,37353.0,930205.0
2002-12-16,45036.207031,45428.679688,44251.261719,44790.910156,36357.449219,699463.0
2002-12-17,45624.914063,45821.148438,44692.792969,44741.851563,36317.636719,757658.0
2002-12-18,44104.082031,46213.621094,44104.082031,46213.621094,37512.289063,987585.0
2002-12-19,46213.621094,46213.621094,46213.621094,46213.621094,37512.289063,0.0
2002-12-20,46115.503906,48126.925781,45723.03125,47292.921875,38388.375,1280803.0
2002-12-23,47292.921875,47587.277344,44889.027344,44987.148438,36516.746094,1046595.0
2002-12-24,44643.734375,45281.5,43760.671875,44741.851563,36317.636719,722394.0
2002-12-25,44741.851563,44741.851563,44741.851563,44741.851563,36317.636719,0.0
2002-12-26,44153.144531,44839.96875,43613.492188,44153.144531,35839.765625,678773.0
2002-12-27,43171.960938,44153.144531,42681.371094,42681.371094,35432.496094,653600.0
2002-12-30,41994.542969,42190.78125,39345.355469,40522.773438,33640.511719,1071565.0
2002-12-31,40522.773438,40522.773438,40522.773438,40522.773438,33640.511719,0.0
2003-01-01,40522.773438,40522.773438,40522.773438,40522.773438,33640.511719,0.0
2003-01-02,41160.539063,41700.191406,40620.890625,41258.660156,34251.414063,890967.0
2003-01-03,42632.3125,45330.558594,42485.136719,45330.558594,37631.746094,1693469.0
2003-01-06,45723.03125,45919.269531,44692.792969,45526.796875,37794.675781,1045678.0
2003-01-07,46606.09375,46802.332031,43858.789063,43956.90625,36491.40625,1027333.0
