Date,Close,Open,High,Low
2019-04-06,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-04-07,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-04-08,46.6,43.0,46.92,42.96
2019-04-09,46.19,46.63,46.8,45.81
2019-04-10,46.08,45.86,46.23,45.86
2019-04-11,46.25,46.07,46.42,45.99
2019-04-12,46.99,46.86,47.15,46.75
2019-04-13,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-04-14,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-04-15,47.31,47.03,47.66,46.93
2019-04-16,47.95,47.89,48.13,47.72
2019-04-17,47.74,48.12,48.28,47.56
2019-04-18,47.86,47.78,48.03,47.57
2019-04-19,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-04-20,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-04-21,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-04-22,47.61,47.61,47.66,47.27
2019-04-23,48.3,47.72,48.41,47.62
2019-04-24,46.46,46.56,46.74,46.39
2019-04-25,46.66,46.83,46.88,46.43
2019-04-26,50.24,48.35,50.92,48.2
2019-04-27,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-04-28,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-04-29,50.25,49.99,50.5,49.71
2019-04-30,50.37,50.13,50.55,50.03
2019-05-01,51.36,50.39,51.87,50.39
2019-05-02,51.46,51.27,51.76,51.05
2019-05-03,52.25,51.63,52.47,51.5
2019-05-04,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-05-05,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-05-06,51.22,51.15,51.49,50.6
2019-05-07,48.89,49.01,49.25,48.61
2019-05-08,48.75,48.65,49.08,48.4
2019-05-09,48.75,48.12,49.1,48.1
2019-05-10,49.7,48.99,49.86,48.4
2019-05-11,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-05-12,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-05-13,48.03,48.5,48.66,47.87
2019-05-14,48.44,48.15,48.54,48.05
2019-05-15,49.94,49.48,50.08,49.03
2019-05-16,52.0,50.92,52.33,50.25
2019-05-17,52.61,53.22,53.61,52.38
2019-05-18,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-05-19,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-05-20,52.2,52.54,52.88,52.01
2019-05-21,51.03,51.23,51.23,50.56
2019-05-22,50.49,50.63,50.72,50.37
2019-05-23,48.34,48.48,48.57,48.13
2019-05-24,48.98,48.67,49.18,48.67
2019-05-25,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-05-26,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-05-27,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-05-28,49.17,49.71,49.73,49.09
2019-05-29,48.23,48.46,48.47,48.01
2019-05-30,48.53,48.55,48.79,48.3
2019-05-31,48.0,47.98,48.1,47.71
2019-06-01,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-06-02,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-06-03,47.78,48.01,48.36,47.7
2019-06-04,48.13,47.63,48.16,47.29
2019-06-05,48.11,48.5,48.5,47.73
2019-06-06,47.45,47.64,47.76,47.33
2019-06-07,48.86,48.14,49.1,48.14
2019-06-08,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-06-09,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-06-10,49.62,49.66,49.8,49.16
2019-06-11,49.82,49.88,50.12,49.67
2019-06-12,49.38,49.17,49.53,49.0
2019-06-13,49.67,49.41,49.86,49.39
2019-06-14,51.33,50.54,51.56,50.43
2019-06-15,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-06-16,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-06-17,52.1,51.74,52.67,51.74
2019-06-18,52.21,52.29,52.57,52.1
2019-06-19,52.98,52.93,53.17,52.58
2019-06-20,53.94,54.05,54.12,53.29
2019-06-21,53.24,52.99,53.65,52.71
2019-06-22,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-06-23,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-06-24,53.15,53.54,53.73,53.12
2019-06-25,52.55,52.56,53.05,52.51
