Date,Close,Open,High,Low
3/4/2019,44850,46000,46100,44800
3/5/2019,44250,44600,45100,44150
3/6/2019,44000,44000,44300,43700
3/7/2019,44450,43400,44950,43400
3/8/2019,43800,44450,44800,43800
3/11/2019,43650,44400,44450,43650
3/12/2019,44650,44300,44950,44150
3/13/2019,43850,44250,44450,43700
3/14/2019,43850,43700,44300,43550
3/15/2019,44200,43800,44250,43700
3/18/2019,43700,43950,44150,43450
3/19/2019,43900,43750,43900,43550
3/20/2019,44050,43800,44200,43100
3/21/2019,45850,44600,46250,44050
3/22/2019,46550,46850,47000,46250
3/25/2019,45500,45300,45650,44800
3/26/2019,45250,45500,45700,44900
3/27/2019,45350,44750,45600,44250
3/28/2019,44850,44950,45200,44300
3/29/2019,44650,44500,44900,44200
4/1/2019,45050,45200,45450,44850
4/2/2019,45750,45550,46100,45350
4/3/2019,46600,46750,46750,45800
4/4/2019,46950,46150,47100,46150
4/5/2019,46850,46950,47550,46600
4/8/2019,46650,47250,47250,46150
4/9/2019,46650,46700,46950,46200
4/10/2019,46700,46400,46700,46050
4/11/2019,46250,46700,46800,46150
4/12/2019,46850,46050,46900,46000
4/15/2019,47050,47150,47500,47000
4/16/2019,47250,47400,47400,46800
4/17/2019,47050,47300,47600,47000
4/18/2019,45600,47200,47250,45500
4/19/2019,45300,45750,46000,45250
4/22/2019,45350,45400,45900,45100
4/23/2019,45200,45050,45500,45000
4/24/2019,44750,45400,45650,44150
4/25/2019,44650,44250,45000,44100
4/26/2019,44850,44200,45000,43800
4/29/2019,46150,45150,46150,45100
4/30/2019,45850,46000,46300,45350
5/2/2019,45900,45500,46150,45400
5/3/2019,45300,45900,46050,45300
5/7/2019,44850,45250,45300,44400
5/8/2019,44250,44300,44850,44200
5/9/2019,42450,43900,44250,42450
5/10/2019,42900,42600,43450,42450
5/13/2019,42650,42500,43200,42350
5/14/2019,42650,41300,43100,41300
5/15/2019,42550,42700,43050,42550
5/16/2019,41550,42350,42400,41350
5/17/2019,41200,41950,42050,40850
5/20/2019,42000,41650,42100,41550
5/21/2019,43150,42600,43950,42350
5/22/2019,43500,43700,43800,42400
5/23/2019,43850,43900,44000,43250
5/24/2019,42700,43800,43800,42400
5/27/2019,42650,42500,43000,42350
5/28/2019,42550,42550,42950,42150
5/29/2019,41800,41850,42100,41300
5/30/2019,42550,42200,42700,42150
5/31/2019,42500,42600,42800,42150
6/3/2019,43800,42950,43900,42500
6/4/2019,43450,43400,43700,43000
6/5/2019,43900,44050,44200,43700
6/7/2019,44200,43600,44350,43450
6/10/2019,44800,44300,44850,44050
6/11/2019,44850,44800,45000,44550
6/12/2019,44600,44800,45050,44300
6/13/2019,43750,44200,44400,43400
6/14/2019,44000,43750,44150,43300
6/16/2019,44000,44000,44000,44000
6/17/2019,43900,43750,44050,43400
6/18/2019,44350,43750,44500,43650
6/19/2019,45350,45450,45450,45000
6/20/2019,45500,44850,45500,44850
6/21/2019,45700,45750,45800,45200
6/23/2019,45700,45700,45700,45700
6/24/2019,45500,45200,45800,45200
6/25/2019,45600,45200,45800,45200
6/26/2019,45700,45800,46000,45600
6/27/2019,46500,46000,46600,45750
6/28/2019,47000,47000,47000,46700
6/30/2019,47000,47000,47000,47000
7/1/2019,46600,47350,47400,46250
7/2/2019,46250,46200,46900,45850
7/3/2019,45400,45750,46350,45200
7/4/2019,46000,45250,46200,45250
7/5/2019,45650,45950,45950,45250
7/8/2019,44400,44750,44800,44350
7/9/2019,45100,44850,45450,44700
7/10/2019,45550,45550,46150,45500
7/11/2019,46200,46350,46550,46150
7/12/2019,46300,46350,46400,45800
7/14/2019,46300,46300,46300,46300
7/15/2019,46450,45950,46650,45750
7/16/2019,46850,46450,46850,46300
7/17/2019,46050,46150,46350,45950
7/18/2019,46100,46450,46450,45650
7/19/2019,46800,46650,46950,46600
7/21/2019,46800,46800,46800,46800
7/22/2019,47200,46800,47300,46600
7/23/2019,47300,47350,47550,47050
7/24/2019,46400,47100,47150,46250
7/25/2019,47200,47150,47200,46600
7/26/2019,47150,46650,47150,46550
7/28/2019,47150,47150,47150,47150
7/29/2019,46100,46800,47050,46000
7/30/2019,46550,46300,46850,46300
7/31/2019,45350,46200,46600,45000
8/1/2019,45200,44900,45500,44850
8/2/2019,44950,44550,45500,44300
8/4/2019,44950,44950,44950,44950
8/5/2019,43950,44350,44600,43600
8/6/2019,43500,42500,43800,42500
8/7/2019,43200,43600,43900,43100
8/8/2019,42650,43250,43500,42650
8/9/2019,43150,43250,43350,43050
8/11/2019,43150,43150,43150,43150
8/12/2019,43700,44000,44000,43550
8/13/2019,43000,43500,43500,42950
8/14/2019,43700,43900,44250,43500
8/15/2019,43700,43700,43700,43700
8/16/2019,43900,43800,43900,43300
8/18/2019,43900,43900,43900,43900
8/19/2019,43600,44350,44350,43500
8/20/2019,44450,43950,44600,43550
8/21/2019,44500,44350,44800,44150
8/22/2019,44050,44500,44700,43850
8/23/2019,43950,43800,44200,43650
8/25/2019,43950,43950,43950,43950
8/26/2019,43600,43050,43800,42950
8/27/2019,44050,43650,44200,43600
8/28/2019,44150,44100,44400,43750
8/29/2019,43400,44200,44200,43050
8/30/2019,44000,43750,44300,43750
9/1/2019,44000,44000,44000,44000
9/2/2019,43800,44850,44850,43650
9/3/2019,43250,43550,43650,43100
9/4/2019,44100,43250,44100,43150
9/5/2019,45700,44800,46100,44450
9/6/2019,46300,46500,46500,45850
9/8/2019,46300,46300,46300,46300
9/9/2019,46900,46450,47000,46300
9/10/2019,47000,47100,47200,46550
9/11/2019,47150,47300,47400,46800
9/15/2019,47150,47150,47150,47150
9/16/2019,47100,47000,47100,46400
9/17/2019,46900,47000,47100,46800
9/18/2019,47700,46900,47700,46800
9/19/2019,49150,48050,49200,47850
9/20/2019,49200,49400,49600,49100
9/22/2019,49200,49200,49200,49200
9/23/2019,49300,49250,49300,49000
9/24/2019,49500,49050,49650,48850
9/25/2019,48900,49200,49350,48800
9/26/2019,49200,49000,49250,48900
9/27/2019,48400,48000,48700,48000
9/29/2019,48400,48400,48400,48400
